기업명: KB금융
기업 고유번호: 00688996
사업연도: 2025
보고서 코드: 11011
재무제표 구분: CFS

[재무상태표 (BS)]
----------------------------------------------------------------------------------------------------
계정명                                                    당기 금액                    전기 금액
----------------------------------------------------------------------------------------------------
현금 및 예치금                            34,776,877,000,000       29,869,111,000,000
상각후원가 측정 대출채권                 491,978,044,000,000      472,071,840,000,000
매각예정자산                                 174,919,000,000          136,838,000,000
매각예정처분자산집단                          94,215,000,000                        0
투자금융자산                             134,986,677,000,000      131,009,464,000,000
자산총계                                 797,923,033,000,000      757,845,532,000,000
당기법인세자산                               388,589,000,000          339,855,000,000
이연법인세자산                               193,034,000,000          278,824,000,000
파생상품자산                               8,178,056,000,000       11,730,767,000,000
당기손익-공정가치 측정 금융자산           89,862,530,000,000       79,450,093,000,000
보험계약자산                                 271,152,000,000          276,191,000,000
무형자산                                   1,609,427,000,000        1,966,684,000,000
관계기업 및 공동기업 투자                  1,137,184,000,000          947,390,000,000
투자부동산                                 3,224,180,000,000        3,759,176,000,000
기타자산                                  24,045,128,000,000       18,863,637,000,000
유형자산                                   5,133,801,000,000        5,390,015,000,000
순확정급여자산                               353,366,000,000          258,500,000,000
재보험계약자산                             1,515,854,000,000        1,497,147,000,000
자본총계                                  60,829,989,000,000       59,815,181,000,000
지배기업주주지분                          59,048,211,000,000       57,888,952,000,000
자본잉여금                                16,633,518,000,000       16,646,734,000,000
신종자본증권                               4,359,388,000,000        5,082,578,000,000
기타포괄손익누계액                          -467,456,000,000          496,922,000,000
자본금                                     2,090,558,000,000        2,090,558,000,000
이익잉여금                                38,333,741,000,000       34,808,220,000,000
자기주식                                   1,901,538,000,000        1,236,060,000,000
비지배지분                                 1,781,778,000,000        1,926,229,000,000
부채와자본총계                           797,923,033,000,000      757,845,532,000,000
사채                                      80,049,270,000,000       76,171,257,000,000
당기법인세부채                               610,484,000,000          530,720,000,000
이연법인세부채                             1,819,080,000,000        1,682,292,000,000
예수부채                                 462,397,026,000,000      435,687,897,000,000
파생상품부채                               8,234,289,000,000       11,783,494,000,000
당기손익-공정가치 측정 금융부채           11,320,590,000,000       10,720,231,000,000
보험계약부채                              56,790,030,000,000       55,863,701,000,000
부채총계                                 737,093,044,000,000      698,030,351,000,000
매각예정처분부채집단                          68,290,000,000                        0
차입부채                                  70,728,396,000,000       68,077,012,000,000
기타부채                                  43,651,463,000,000       36,429,662,000,000
충당부채                                   1,264,390,000,000          927,632,000,000
순확정급여부채                               100,088,000,000          100,187,000,000
재보험계약부채                                59,648,000,000           56,266,000,000
----------------------------------------------------------------------------------------------------
총 계정 수: 42개

[현금흐름표 (CF)]
----------------------------------------------------------------------------------------------------
계정명                                                    당기 금액                    전기 금액
----------------------------------------------------------------------------------------------------
기초 현금 및 현금성자산                   24,608,867,000,000       25,826,588,000,000
기말 현금 및 현금성자산                   29,020,564,000,000       24,608,867,000,000
재무활동으로부터의 현금흐름                5,797,923,000,000       -1,983,837,000,000
자기주식의 취득                            1,480,000,000,000          820,000,000,000
신탁계정미지급금의 증가                    2,905,896,000,000           89,900,000,000
신종자본증권의 발행                          404,028,000,000          399,059,000,000
신종자본증권의 상환                        1,130,000,000,000          350,000,000,000
신종자본증권 배당금의 지급                   202,392,000,000          199,800,000,000
위험회피목적 파생금융상품의 순현...         -276,837,000,000         -216,883,000,000
차입부채의 순증감                          3,844,056,000,000       -4,358,474,000,000
비지배지분의 증감                           -103,724,000,000          115,292,000,000
배당금의 지급                              1,302,291,000,000        1,486,978,000,000
기타                                        -253,186,000,000          -28,151,000,000
리스부채의 원금상환                          366,953,000,000          311,363,000,000
사채의 발행                               93,229,857,000,000       86,031,647,000,000
사채의 상환                               89,470,531,000,000       80,848,086,000,000
투자활동으로부터의 현금흐름               -5,537,899,000,000       -3,825,055,000,000
투자금융자산의 처분                       52,496,175,000,000       45,225,323,000,000
당기손익-공정가치 측정 금융자산...        24,532,395,000,000       15,648,112,000,000
당기손익-공정가치 측정 금융자산...        25,180,947,000,000       16,365,119,000,000
투자금융자산의 취득                       57,231,392,000,000       47,328,121,000,000
위험회피목적 파생금융상품의 순현...         -125,312,000,000          -44,552,000,000
종속기업 변동에 따른 순현금흐름             -264,868,000,000           88,528,000,000
기타                                         356,861,000,000         -397,226,000,000
무형자산의 처분                               11,702,000,000           21,073,000,000
투자부동산의 처분                            675,864,000,000          264,948,000,000
관계기업및공동기업투자의 처분                257,829,000,000           98,497,000,000
유형자산의 처분                               91,927,000,000           18,616,000,000
무형자산의 취득                              221,529,000,000          289,731,000,000
관계기업및공동기업투자의 취득                419,661,000,000          339,469,000,000
투자부동산의 취득                            183,503,000,000           88,756,000,000
유형자산의 취득                              333,440,000,000          337,178,000,000
영업활동으로부터의 현금흐름                4,226,378,000,000        4,020,186,000,000
자산ㆍ부채의 증감                          4,966,358,000,000        3,091,952,000,000
상각후원가 측정 대출채권                 -23,368,272,000,000      -27,515,988,000,000
당기손익-공정가치 측정 금융자산           -7,550,760,000,000         -700,633,000,000
기타포괄손익-공정가치 측정 대출채권         -548,985,000,000         -646,377,000,000
재보험계약자산                            -1,258,024,000,000       -1,498,923,000,000
당기법인세자산                               -48,734,000,000          -95,539,000,000
이연법인세자산                                83,410,000,000            5,201,000,000
당기손익-공정가치측정 금융부채               -58,243,000,000         -183,609,000,000
보험계약부채                              13,387,533,000,000       11,807,838,000,000
당기법인세부채                                79,765,000,000          385,385,000,000
이연법인세부채                               354,843,000,000          367,748,000,000
파생금융상품                                   2,162,000,000         -207,969,000,000
보험계약자산                                   5,039,000,000          -46,550,000,000
투자계약부채                               4,290,505,000,000        1,106,677,000,000
